,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode
2024-10-25 10:45:02.8513,0.05180456401181543,0.6905495634309193,0.06816012551877056,0.8151001540832049,0.6653826399589111,7.273117984533139,0.5849846497348591,0.3645266220012532,0.7486095825078876,0.5014431402732346,0.7098679442061827,0.7187339496661531,0.5,0 days 00:02:54.463677,15min,False,root_cause_3,5,True,None
2024-10-25 11:08:35.9754,1.6917010657394884,0.6671802773497689,0.4272653067996519,0.7835130970724191,0.6653826399589111,4.228991742822979,0.507147296457427,0.5531031249645932,0.6830948712304644,0.5014431402732346,0.5817166868133479,0.6072590309878445,0.5,0 days 00:00:19.126474,24H,True,root_cause_3,5,True,None
2024-10-25 10:44:56.5846,0.04031210324879287,0.6877247046738573,0.056197513641410006,0.8102208525937339,0.6653826399589111,4.45846289293514,0.5792110206637445,0.2887991076245345,0.7423288575830949,0.5014431402732346,0.7063831261942499,0.71160760143811,0.5,0 days 00:03:17.672761,15min,False,root_cause_3,3,False,None
2024-10-25 10:55:11.0648,0.16797709915298314,0.7162300975860297,0.14303928623216022,0.8297380585516179,0.6653826399589111,20.60310829136701,0.5992241122053119,0.7312174197900436,0.7673196859637538,0.5014431402732346,0.7358620503762804,0.7535310734463277,0.5,0 days 00:01:21.585124,1H,False,root_cause_3,5,False,None
2024-10-25 11:03:12.3700,0.7462893297079733,0.6733436055469953,0.3621562582154227,0.8027734976887522,0.6653826399589111,3.2306367287582813,0.5078290308929327,0.5023938011418972,0.7078288942695723,0.5014431402732346,0.6142180574886857,0.6429335730183188,0.5,0 days 00:00:23.590398,12H,True,root_cause_3,5,True,None
2024-10-25 10:46:58.3669,0.06370012451600571,0.6856702619414484,0.05254571609490983,0.8099640472521827,0.6653826399589111,7.2731179845312806,0.584224212655302,0.331613071091171,0.7454105216817082,0.5014431402732346,0.7101007590771882,0.7144966615305599,0.5,0 days 00:04:17.410016,15min,False,root_cause_3,5,False,None
2024-10-25 11:03:38.3875,0.3764706806638467,0.7329224447868515,1.0713646386257865,0.8374422187981508,0.6653826399589111,0.22461312922507548,0.6502990242367013,3.4323250861232317,0.7781898892068383,0.5014431402732346,0.7578171443567719,0.7635892826570793,0.5,0 days 00:00:21.027470,12H,False,root_cause_3,3,True,None
2024-10-25 10:58:19.9120,0.434784450795466,0.7064714946070878,0.19610026271839215,0.8248587570621467,0.6653826399589111,1.9397599592654464,0.5168230716411079,0.3064957802443833,0.7425343018563358,0.5014431402732346,0.6579813291951923,0.6976331107687039,0.5,0 days 00:00:30.063197,6H,True,root_cause_3,3,False,None
2024-10-25 11:03:15.2575,0.4555070989982488,0.6774524910118129,0.31622679848817026,0.8081664098613252,0.6653826399589111,0.03758133377477438,0.5104986876640419,0.4335213925804846,0.7162154229950839,0.5014431402732346,0.6213011389267946,0.6545112138332477,0.5,0 days 00:00:24.636892,12H,True,root_cause_3,5,False,None
2024-10-25 10:52:51.8179,0.2289455768076085,0.6820749871597329,0.07716451301068518,0.7994350282485875,0.6653826399589111,0.7881050305970437,0.5079434167573449,0.1363567411463176,0.7149277276395921,0.5014431402732346,0.612981709814924,0.6464004451292588,0.5,0 days 00:01:04.512297,1H,True,root_cause_3,3,False,None
2024-10-25 11:03:03.0972,0.4475268414539598,0.6833590138674884,0.27052227495806025,0.8117616846430404,0.6653826399589111,0.12911503095094246,0.5142514251425143,0.3938349584079969,0.7224594614425123,0.5014431402732346,0.6363182905108983,0.6667950693374423,0.5,0 days 00:00:15.635804,12H,True,root_cause_3,3,False,None
2024-10-25 11:10:36.5820,0.642688355775876,0.7100667693888033,0.9563397839992392,0.8179250128402671,0.6653826399589111,0.2527984009618217,0.6250371691941721,6.181151942505653,0.7540428498055616,0.5014431402732346,0.7369778437847759,0.7343348741653826,0.5,0 days 00:00:19.169685,24H,False,root_cause_3,5,True,None
2024-10-25 10:42:23.2910,0.360615012843367,0.6661530559835644,0.03119812334928005,0.7627118644067796,0.6653826399589111,0.0009905849730230786,0.5073331956207394,0.05967515492149701,0.668783476410595,0.5014431402732346,0.5661628169770025,0.5749871597329224,0.5,0 days 00:03:56.539069,15min,True,root_cause_3,3,False,None
