,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-21 14:38:53.2666,1.0,0.7998129967274428,0.5848527349228612,0.8316736792893875,0.7998129967274428,True,0.3825115806840536,0.6390836839644694,0.472759114554346,0.3335930196322842,0.6148720257501946,0.6148911095527505,0.5,0 days 00:24:37.151846,24H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 15:02:04.3352,1.0,0.7998129967274428,0.9981299672744273,0.7998129967274427,0.7998129967274428,True,0.5062466051059208,0.9022907900888265,0.5122412572622952,0.3335930196322842,0.7389697093727821,0.7390242714664172,0.5,0 days 00:23:05.288402,1H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 14:45:23.0106,0,0.8106124357176251,0.25853202431042543,0.8364188873305285,0.7998129967274428,True,0.5265310892940626,0.7428705002337541,0.5483325541530311,0.3335930196322842,0.7039390698889391,0.7040176484338476,0.5,0 days 00:31:23.540218,12H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 15:01:48.8728,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:15:56.318085,24H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 18:22:50.7959,1.0,0.7998129967274428,0.2702197288452548,0.8138849929873774,0.7998129967274428,True,0.4670777105630526,0.7461430575035063,0.49137966858864474,0.3335930196322842,0.6670015063245756,0.6670328814087579,0.5,0 days 04:08:53.569774,15min,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 15:24:06.4535,1.0,0.7998129967274428,0.22346891070593736,0.821645628798504,0.7998129967274428,True,0.4990367213497577,0.780271154745208,0.5175441721023769,0.3335930196322842,0.6868283458866752,0.6868523063736949,0.5,0 days 01:10:06.901328,1H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 14:49:49.4514,1.0,0.7998129967274428,0.6923796166432913,0.8135109864422628,0.7998129967274428,True,0.5889742328502781,0.9798971482000935,0.5973830828669537,0.3335930196322842,0.8070734134340323,0.8071256038647343,0.5,0 days 00:35:50.112165,6H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 15:02:45.0481,1.0,0.7998129967274428,0.4983637213651239,0.8236091631603553,0.7998129967274428,True,0.4239178375653708,0.5507246376811594,0.4628624116001396,0.3335930196322842,0.6387843072834427,0.6388538257752844,0.5,0 days 00:23:10.545812,1H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 14:52:53.6452,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:16:33.931942,24H,False,random_5,50,False,corr,resources/rivers_flood.csv,False,[]
2024-11-21 14:37:30.7189,1.0,0.7998129967274428,0.9728845254791959,0.7998831229546516,0.7998129967274428,True,0.5553619623518158,0.9873772791023843,0.556483457324972,0.3335930196322842,0.7907270930496557,0.7908027505064672,0.5,0 days 00:22:14.773718,1H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
